id,url,title,description,content,source_name,source_quality,category,author,published_at,collected_at,language,importance_score,urgency_score,recency_score,credibility_score,final_score,story_group_id,is_breaking,is_processed
75c24642-a20b-4be6-af9f-651566237364,https://news.google.com/rss/articles/CBMi_gFBVV95cUxQOWJzb1gxS3lzQUFURDNLS2ZYclIxTm9HTDRHUnhSRVlTeEl3aDVJamFMRFp2YThSLVFRVk8tSHRzclZkcWZ6dVNZbWJSLVhUUGhrbXZDcU5xOU1XcU5wd3l3dVpMb0EwMkFXZVFIeTN0ODI2N1BSWHRIOW1HbVNlZDZPV0RnZk5oM0w5N19LQkd4YU5QeUwyb3NndG84TnV2dEdONnF4OXdXeVBXT3U3ZHliSmg5M2VxZFBGWEd0RUlpUlQ4Um9XWEtyc3c4bGVSRkhuLXlHNXN3ZWZ3TDNCbzlEOVJ6UWhVU1A5QzVLanhzVFh0dWtZMjRKLUNEd9IBhAJBVV95cUxPNXVYU05Xd2hXeU1hSDhDWVozQ1dNTmlJYTd5YlpBWmIzeEdGeUdfRURLZl8xcWpEcUVuTnRPMDRzOTQ4Qjdab2JkdWttSUo1cFBkLXlIY0Q2enBwSWdMcWMzSm53NG40aDloWXZ0ZVhQNzlDTmNpZzJSdFNkSnRoTDVCVE8tdEhaUnl6Q1JpUzIyRDM3LUduMVpKTzBuWnUxLUdZb1pPZVFtVlltTlBNbmdFb1NaRklXT05fOTJtcE9obkxIUkkzeUJ4c3RiZmdJZ1I1R1dYTFQ3WUVxcjNnVzQ0dFFZRC1LUEEtMl9rZkJ4eTRDUFBFcHZmSGF3eno3VzRoMQ?oc=5,"Haiwaan Movie Review, Release Live Updates: Akshay-Saif film crosses Rs 2 cr mark, lose shows to Hanuman Ansh, Mirzapur - The Indian Express","Haiwaan Movie Review, Release Live Updates: Akshay-Saif film crosses Rs 2 cr mark, lose shows to Hanuman Ansh, Mirzapur The Indian ExpressHaiwaan Review: Priyadarshan Goes All Dark And Deadly In A Cat-And-Mouse Thriller NDTVAkshay Kumar, Saif Ali Khan Take A Backseat To Non-Star Vehicles IMDbYOU ASKED IT | 11 September, 2026 Film InformationHaiwaan hits theatres: Revisit Akshay Kumar and Saif Ali Khan’s best movies on Netflix, Prime Video and more WION",,Google News Top Stories,7,GENERAL,,2026-09-11T14:07:18+00:00,2026-09-11T22:20:16.608007+00:00,en,53.8571,43,40,70,55.7,f4fc3047,False,True
6b6def94-8a79-4d61-907e-75d064b12c21,https://news.google.com/rss/articles/CBMijgFBVV95cUxNX0FPMGhoQTBvU29IbDVzeGVGcTVrSnNvREdLR1FiY1BNSmVBb2hYTU13c1o3d3pTc1ZyLWRFSU9Zc3hQczdLeTBTX2pvYU03a1NkTTNSRjVFQ3VQZ2M1Z1J5WTZVRE5UVHVINkptWUplSHlyaHdzUWYzSF9jeWFGZ3U5LVF0M184NUNmRy130gFOQVVfeXFMT3hTak04dkJFUjhNSHFJRDZFVldPSWlYMHFEMkhlNl91VDVVVUptZG1XOUV0d25ZSGQ2bllxX1B0M00ySFlnQTRwcENnS21B?oc=5,Pakistan backs UK measures against Israeli settlers - Dawn,"Pakistan backs UK measures against Israeli settlers DawnTrump administration offers rare muted response on new sanctions against Israel CNNPakistan among Arab, Muslim nations welcoming UK ban on imports from illegal Israeli settlements DawnJoint Statement of the Foreign Ministers of Canada, Denmark, Finland, France, Iceland, Ireland, Norway, Poland, Portugal, Spain, Sweden and the UK on the Two-state Solution canada.caForeign Secretary Oral Statement on Israel-Palestine GOV.UK",,Google News World,7,WORLD,,2026-09-10T01:56:38+00:00,2026-09-11T22:20:18.207441+00:00,en,56,29,10,55,47.5,b474aa84,False,True
98b37900-796d-4122-930c-4401e5e66a69,https://news.google.com/rss/articles/CBMimAFBVV95cUxNbks3LTlDZFJuaFloZFRYUF9VdU1zOVhiYm5objZqQW50Y3BSZ1VfT3ZHQWNFY0U0T09SOFNMYXBLNkVzVmRpdDZmQ2xVZ0R1RWNmSHZ5OFEtYUo4NWhhXy1hamk0aWZSbG04M3RhZ185eDNDNFBZZ2tpWF9Zam9yNG5KU0FUZ1ZQa1lZTU16NHJzT0xrQ1NjadIBngFBVV95cUxQdm03YXVNZHliRUVFaEFlVW94Z1hSSmdnWG9BeTluTmhBNmlCT0xmYUt1aWdnSWQ3QncwaDlpTFYxc2NZUlZTMmt2V1pGemwybkhObFZ6NTM2NFNNNGV4RC1sbm1fY3BiUHJnZ3BVOGduMTRxVkEyblctZTlpSmg3WEV4N2t5T3FPUC14WEVPSkFwLU5PbFhfUUltQXJNdw?oc=5,IAEA accuses Iran of ‘noncompliance’ - Al Jazeera,"IAEA accuses Iran of ‘noncompliance’ Al JazeeraCameras disabled, inspectors blocked: Nuclear watchdog asks for help with Iran CNNPermanent five members clash in UN Security Council about Iran sanctions snapback The Express TribuneIranian Spokesman Decries IAEA Chief for Paving Way for War تسنیمChina calls for political settlement of Iranian nuclear issue China.org.cn",,Google News World,7,WORLD,,2026-09-10T14:18:57+00:00,2026-09-11T22:20:18.207441+00:00,en,56,29,10,55,47.5,56fa7c94,False,True
fcc0a42b-7449-4e6a-a462-c9e5c320ef86,https://news.google.com/rss/articles/CBMiSEFVX3lxTE1fblBydWZ1ejc3NWh5TWNTNGVfQVV4QjR6cUNOMF9wWEFmeXRHQjRKTmxJZmVreXNoLXktQVVBT0NOQVlkb3d4edIBTkFVX3lxTE4xdkNqbEZyeUxXWWhVaWZEZTd6MzJfWFFfNzYzdDVtQVFlNTRzNGhGZEFFM3VaTDZxMDVsRkloRUtSVXNVbDIyckoyWVVvdw?oc=5,Israeli strike in Gaza kills family of four - Dawn,"Israeli strike in Gaza kills family of four DawnPalestinian killed in Khan Younis, 13 others injured in Israeli attacks UA.NEWSHR Center: 10 Palestinians Killed, Including Couple, Their Two Children, in Gaza وكالة سبأGaza Death Toll Reaches 73,670 as Israeli Attacks Wound 30 in 24 Hours palestinechronicle.comIsraeli strike kills parents and two children in Gaza, medics say The New Arab",,Google News World,7,WORLD,,2026-09-11T02:05:53+00:00,2026-09-11T22:20:18.207441+00:00,en,56,33,20,55,49.9,02bec506,False,True
fc438b6f-9a61-4190-8967-0cc96f9605f0,https://news.google.com/rss/articles/CBMiswFBVV95cUxONFZpVUg1X0dGenQwR3FmcEhUY0gyT0thTHNXOFRIcWlQWHF3TC1FdnR3ZUNoWTRFTDkyd3NKb2dWV3E0dkV4ZUl6cDJrSVYtR1Z0OHd4dE1GVzZ5NEkzM3VHb3FFWHdLZEIxLTJjRTRJdkhkYWJvVllfM2ZtM0lINHBybThXdWFIS1dkNzA4bkVURnJ6a2t1M0ZxamVNX2ZHRVVoTE52eEZuanRJSDZKTzk1QQ?oc=5,1789 Capital-Backed Firehawk Seeks Funds at $1.25 Billion Value - Bloomberg.com,1789 Capital-Backed Firehawk Seeks Funds at $1.25 Billion Value Bloomberg.com,,Google News Technology,7,TECHNOLOGY,,2026-09-11T19:53:49+00:00,2026-09-11T22:20:19.645634+00:00,en,50.6429,47,80,45,58.4,b2bf4920,False,True
2721fcaa-d1f2-4e94-9905-c17a79705ed3,https://news.google.com/rss/articles/CBMijwFBVV95cUxOci1sZTlWZGtwSEtBZWZhQWphX0JYZ1hWYXh2Q3JZWktoVTJNeXdOUnFvbGpuN0NVbmRfb1hlZ1FsajZpdlRUVlUyZmMyUnJQRW52QlpSclZrcUdoYmxyRmE1VWIxZm9DQjM5OHh5eDZYLWw5a01JckU5TUVSVkZtUkZfMlBXaXhzYmhLdVhIOA?oc=5,Apple Still Has 8 More Products to Announce Later This Year - macrumors.com,"Apple Still Has 8 More Products to Announce Later This Year macrumors.comApple will launch 7+ new products in October, here’s what’s coming 9to5MacNew product identifiers show up in Apple's backend, don't indicate release timing AppleInsiderApple Product Roadmap Through 2029: iPhones, Macs, Smart Glasses and More Tipped Gadgets 3605 Apple product launches we still expect to see in 2026 Mashable",,Google News Technology,7,TECHNOLOGY,,2026-09-11T18:14:58+00:00,2026-09-11T22:20:19.645634+00:00,en,50.6429,39,60,55,55.6,a6569b5d,False,True
b23d0301-9f13-41c9-8aa5-1b50227ec956,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNMzEySVdGckljcDZQOTA1MndYbGRTOHVSenZuQ0M1aHV3WkpmdkszbDdiUEZRT2w4ZmttZFh6aURsQU1RcF9WNlNLdmp2ZVM0OXNfV1hTcUdQSXJNMGNkWTJJc2tYakdXTUptTV9TZWowQ3EzbldvX1ZWd1ZFR2ZwVDU4MG9BajBETWlXUU11Ui1QNzhqYTdXSThOc0VxMWdybzZqMzZPaGVEZlVReFNuYWx6ajE5ZUpp?oc=5,Disembodied fruit fly brain joins the crypto speculation swarm - The Register,Disembodied fruit fly brain joins the crypto speculation swarm The Register,,Google News Technology,7,TECHNOLOGY,,2026-09-11T16:03:00+00:00,2026-09-11T22:20:19.645634+00:00,en,60.6429,31,40,45,52.3,450a327f,False,True
62937bfb-662a-4b94-ba34-f090b35eb086,https://news.google.com/rss/articles/CBMiggFBVV95cUxOdlVpakFjVGJ1UVdDYnIwakNFbFpHOHluNFhrMnFDSDFXb1BJUlVqUFVsZm84Yzc3bkVUS0E5NzB5VFRFSWlIRzZ4YlIzeWV0LXhrRWREWmpGUkdFUXU4N0phd2ROM0tiNnlhb1M0czFRaUVUUDhqTmN0TjhvWlUzR3Nn?oc=5,Apple's iPhone Handoff Feature Will Cost You $5 A Month On T-Mobile - Engadget,"Apple's iPhone Handoff Feature Will Cost You $5 A Month On T-Mobile EngadgetHere's how much using one phone number on two iPhones will cost you - GSMArena.com news GSMArena.comiPhone Handoff Explained: Use the Same Number on Two iPhones smartprix.comT-Mobile iPhone Handoff fee: What it is, how it works Mashable",,Google News Technology,7,TECHNOLOGY,,2026-09-11T11:57:16+00:00,2026-09-11T22:20:19.645634+00:00,en,50.6429,31,40,55,50.8,d67a3926,False,True
01dfc52f-2e76-4c16-80b1-e06884e3c1fd,https://www.wired.com/story/uncanny-valley-podcast-is-ai-actually-going-to-kill-us-all/,Is AI Actually Going to Kill Us All?,"This week on “Uncanny Valley,” we dig into a former Anthropic researcher’s AI doomsday warning, the latest upgrades from Apple’s event, and the census report that claimed Trump won the 2020 election.",,Wired,9,TECHNOLOGY,"Brian Barrett, Leah Feiger, Will Knight",2026-09-10T20:30:37+00:00,2026-09-11T22:24:00.600874+00:00,en,56.6429,21,10,60,48.9,1a23dfc3,False,True
8c48e8f4-0e97-4517-8f70-bef2603a8327,https://www.espn.com/golf/story/_/id/49905901/shane-lowry-sets-course-record-3-shot-lead-irish-open,"Lowry's 62 sets course record, leads Irish Open",Shane Lowry shot an 8-under 62 to set a course record and build a three-shot lead going into the weekend at the Irish Open.,,ESPN,9,SPORTS,,2026-09-11T22:24:28.665702+00:00,2026-09-11T22:24:07.613536+00:00,en,51.2857,57,100,60,67.5,cb0829a4,False,True
d87eca44-4f89-406f-a526-593cfdbbac23,https://www.bbc.co.uk/sport/football/articles/cm27vgl8dkgo?at_medium=RSS&at_campaign=rss,Swans winger Inoussa joins Gornik Zabrze on loan,Swansea City winger Zeidane Inoussa joins Polish club Gornik Zabrze on loan for the remainder of the season.,,BBC Sport,10,SPORTS,,2026-09-11T17:52:26+00:00,2026-09-11T22:24:08.016573+00:00,en,54.2857,42,60,65,61.1,c2b1a43e,False,True
7afa1782-a152-43b0-9d46-f35096fa030f,https://news.google.com/rss/articles/CBMiqAFBVV95cUxQRE82YjBCZWVKaWljVlZvWTVDSTN3UkIxdXJqM0tSRjBMVzV0VGt2Vmp6LVdES1ZiUWxZelB3MjE1Wk9fZmw5Z2hfbnZLMFFWWlNZLU5mOXJHSWk2Z3RmN1M1emZjUUNUUF9WaDNsaTk4b0ZQbUFBV1dSVWtUTGU4MUtuSHBKTzhvc2NfMHVRRjI1VDZkcTdfYTdubUVXa3owZFlpOWFTY0nSAaQBQVVfeXFMT3V5VTJXT0JuNWoyYXRZcUVUT0x6Rk41aFk3akRianVzN2M3VklneWpLZEJCb3FpNS1SRUFTVVJVTzhEM1otZHdkenFzTGRxeGpOM2M0U1A3ODJxdjVPY25NV1BVdm8zV05uTkwxWElha1Vvb3FCMFZucEpZWGl5V0QyZXdva0dZYWZVd3ladS1ZQjJiTmtLT29hOXp6X2ZYbDZpLWY?oc=5,Here are the iPhone 18 Pro and iPhone 18 Pro Max Geekbench scores - GSMArena.com news - GSMArena.com,Here are the iPhone 18 Pro and iPhone 18 Pro Max Geekbench scores - GSMArena.com news GSMArena.comApple debuts iPhone 18 Pro and iPhone 18 Pro Max AppleiPhone 18 Pro vs iPhone 15 Pro: Three-year upgrade AppleInsiderApple iPhone 18 Pro Max vs. Samsung Galaxy S26 Ultra: The Highest-End Phones Compared cnet.comiPhone 18 Pro and Duo pricing overview - GSMArena.com news GSMArena.com,,Google News Top Stories,7,GENERAL,,2026-09-11T00:01:02+00:00,2026-09-11T22:24:12.28101+00:00,en,63.8571,20,20,85,55.9,8fe10ca4,False,True
f4a0249f-0e46-4f3d-985a-6515af974ace,https://news.google.com/rss/articles/CBMihgJBVV95cUxPQVZpS3JUMDFXWWZyZ2ZlZk94anhvdURnOVRZWl9oVjFlWFlmM2pqRUJuTGdPTlVQZlk1NnU1b1lFMmlQRG5oN1lNcjExdXlOU2xONlZ2c2dGVXZIbnZmRDlZNDhtUWlDekFaaEFMVDU4Y3dxU2dlNnBtb1d2VVdSX1RtZ3BMMUk5TEIzanFLZ2R0YmtCeTROOGxCR3JzMzZzRlp2a0tpWU1aTFhuaDhOWFpJOVJyZG5WSlI4aTY0OXB1Vkx1MmVzY0ZjRHpTdmZEeElxbjZkTVBWSEphT2RPYm1QY1Y4ZkRwOVNLZ3dRN3RHOHJfeHZvSjJ6SGpvaUdaQnF2enV3?oc=5,"Haiwaan box office collection day 1: Akshay Kumar, Saif Ali Khan film collects ₹2 crore on opening day - Hindustan Times","Haiwaan box office collection day 1: Akshay Kumar, Saif Ali Khan film collects ₹2 crore on opening day Hindustan TimesHaiwaan Review: Priyadarshan Goes All Dark And Deadly In A Cat-And-Mouse Thriller NDTVAkshay Kumar, Saif Ali Khan Take A Backseat To Non-Star Vehicles IMDbYOU ASKED IT | 11 September, 2026 Film InformationHaiwaan hits theatres: Revisit Akshay Kumar and Saif Ali Khan’s best movies on Netflix, Prime Video and more WION",,Google News Top Stories,7,GENERAL,,2026-09-11T16:36:52+00:00,2026-09-11T22:24:12.28101+00:00,en,53.8571,36,60,70,59,bdf50214,False,True
7fa1fa17-eac6-4f32-b1b9-62c3633209ad,https://news.google.com/rss/articles/CBMiowFBVV95cUxPR3p1XzVMYzhnVGptbWNIS01zaTFFdUhOUGJRWWdQQ0p0SzF2ODV3aTZzODhoNV9GYnMwd1VGb041dElsWF9ObXQ3QXF0N1dzS0ZhdTVKQ0JoM3NsNndBcGZLakEzTVA5M2ZsOEJMazFXX2hCR2IxNVhSdXlFLVhHbzR0T180SE1XYnhzRU1GZ05FZWhaeFlqVHFLcUFDeUk4X0tz?oc=5,Taylor Swift's significant act of kindness resurfaces six years later - Geo News,Taylor Swift's significant act of kindness resurfaces six years later Geo News,,Google News Top Stories,7,GENERAL,,2026-09-11T19:01:00+00:00,2026-09-11T22:24:12.28101+00:00,en,53.8571,36,60,60,57,19dce68c,False,True
5748d351-d720-4f98-a9da-c6bd325621ee,https://news.google.com/rss/articles/CBMiswFBVV95cUxQSmRacE55Y0pkVExOY05yYXRsWWppb2NaS3pYS3F1Mlc4R1RVTnpaaU4zeUZCVjhNZmpBNk4xS3k3QURIZnRfdDg3SkhjVUFrckxwRUgwbEx6c19YcHRiN2Q5NzRZeEh6R3RZUlZoWWRyVktBS016ZUtvelVORXFmQWZWOXNjR2c1ZFpMdWlUT0xacFRkOTJhYi1uUWlfOFhFUGlnSUhaZVlVNVFMYzFiNmR6VQ?oc=5,"Pakistan pavilion inaugurated at CIFTIS 2026, expanding business ties Breaking - Independent News Pakistan","Pakistan pavilion inaugurated at CIFTIS 2026, expanding business ties Breaking Independent News PakistanPakistani parliamentary delegation discusses Kashmir, marks 75 years of Pak-China ties in Beijing The Nation (Pakistan )Qawwali, Chinese melodies unite on Great Wall The Express TribunePak Chengdu consulate hosts grand reception to mark Islamabad PostPakistan: cultural exchanges, music and books foster people-to-people ties Global Times",,Google News Top Stories,7,GENERAL,,2026-09-10T07:50:28+00:00,2026-09-11T22:24:12.28101+00:00,en,58.8571,31,10,55,47.3,8e84bdd8,False,True
c2b60e35-79dc-423f-a229-5edf82a34502,https://news.google.com/rss/articles/CBMinAFBVV95cUxORm1teWRTNWdVbkNQUUZURk9veE1pQndRX3JDR1ZSSTk0NWR2WllBNDM5WnhOZG90dEtWWmctOUNwZFNYbXJHMGhzb1A3Q0hxVDc5UVZORnRKc25ZLWRGTzhoLXA4djR0UGViRks4MnVEcmo4cFRNejZlQkJsREJIUE5ISHEyc1cwaVpHVHZySzJITWVpb3FlYmptSHY?oc=5,Women’s Asia Cup: Sri Lanka elect to bowl against Pakistan in semifinal - telanganatoday.com,"Women’s Asia Cup: Sri Lanka elect to bowl against Pakistan in semifinal telanganatoday.comPAK-W vs SL-W Cricket Scorecard, 2nd Semi-Final at Dubai, September 11, 2026 CricinfoSLW vs PAKW, Semi Final 2 (B1 v A2), Women's Asia Cup 2026 - Commentary CricbuzzFatima's all-round brilliance in vain as Sri Lanka edge Pakistan by four wickets in second semi-final pcb.com.pkWomen's Asia Cup: Sri Lanka fight back from 33/4 to beat Pakistan by 4 wickets, set up India final timesofindia.indiatimes.com",,Google News Top Stories,7,GENERAL,,2026-09-11T14:41:14+00:00,2026-09-11T22:24:12.28101+00:00,en,53.8571,28,40,70,54.2,c7929f51,False,True
da4b50b9-e58a-4a3d-ad8a-eaf8929f40fb,https://news.google.com/rss/articles/CBMitAFBVV95cUxPZnRRY3VzRTctZXFzVUl1VUg5NHlqeTFwdUR2NXJZcmNNTzdmSFBrbWJseno3d1hVUElZQ1ozUUYwVXJwX0paZmdFUk4tZGdyb0gzUzhRTzFiTXAxT3VMM0tLTTBiUHUtOXBTeUVmZzdyYWhtdWlHNmdLOGtMX3dUbTdwUTRadllYaVFhRFpZakpfWnJtNFFOLWdlY1JaY3U5YjQxMlhVcUktd3hHRms1MlFKWWY?oc=5,"Saudi crown prince sought US military help from Trump with Houthis, sources say - Reuters","Saudi crown prince sought US military help from Trump with Houthis, sources say ReutersEXCLUSIVE: US expands intel, targeting support for Saudi campaign against Iranian ally CNNSaudi crown prince urged Trump to strike Houthis amid Red Sea threat AxiosTrump declines Saudi crown prince's call for US strikes on Houthis, Axios reports The Express TribuneCENTCOM chief in Saudi Arabia as Yemen's Houthis seize Bab al-Mandeb Al-Monitor",,Google News World,7,WORLD,,2026-09-11T04:50:00+00:00,2026-09-11T22:24:13.856931+00:00,en,56,33,20,55,49.9,221f17d1,False,True
f4e8df60-6c9e-43f7-a0aa-a0c51ca98ebb,https://news.google.com/rss/articles/CBMihAFBVV95cUxOTXE4MDFlendHOEpIVjJfNk02ZUFydzk0d3RBU0FGaE9qSlp3UkdDUHQwM3hQdUhjd182b0ZWZ3B0TUE0Vlh2MnpyRUNKOVp1aFlCNF9UWXVYZTctSkUycUNvWTE0MDd6aVgzYjdSOWhPTThnRS11RzQwUmQyN0E2aHlZTlI?oc=5,Houthis used Anthropic AI to try to build ballistic missiles - Financial Times,"Houthis used Anthropic AI to try to build ballistic missiles Financial TimesDetecting and countering misuse of AI: September 2026 AnthropicAnthropic blocks possible attempt to use AI to make biological weapons BBCChina, Iran among countries that have used AI to aid spying, Anthropic says DawnAnthropic disrupts bioweapons research efforts, Russian hacking, Chinese Claude misuse Reuters",,Google News World,7,WORLD,,2026-09-11T09:02:54+00:00,2026-09-11T22:24:13.856931+00:00,en,66,48,20,55,54.9,80103232,False,True
c0650769-69a3-4fff-940e-5b2920f0960a,https://news.google.com/rss/articles/CBMirwFBVV95cUxOYzBsaWw0bmhjMV96R2NYbERCTDZKV2stV3R6bHVYRW81NDNjVTFNQlhIRUI2dEhEQVo3anNsOFBBZzlHb2J4Ym80SlRxMFpRSVVaTkx5bmZJRGRVLUFsTGhPY1hpUVRtbTM0TWR6aldkWFBwd0dpTzdpMmt1TjFCbTZhbHg4ZldIVl9fWWhxYkdhTlNHNkY5VHJ2a19iUERKcEYwWHRmY0hYVmxPU3FN?oc=5,‘It’s a good start’: prominent Israelis welcome UK sanctions on illegal settlements - The Guardian,"‘It’s a good start’: prominent Israelis welcome UK sanctions on illegal settlements The GuardianTrump administration offers rare muted response on new sanctions against Israel CNNPakistan among Arab, Muslim nations welcoming UK ban on imports from illegal Israeli settlements DawnJoint Statement of the Foreign Ministers of Canada, Denmark, Finland, France, Iceland, Ireland, Norway, Poland, Portugal, Spain, Sweden and the UK on the Two-state Solution canada.caForeign Secretary Oral Statement on Israel-Palestine GOV.UK",,Google News World,7,WORLD,,2026-09-10T13:30:00+00:00,2026-09-11T22:24:13.856931+00:00,en,56,29,10,55,47.5,883229b1,False,True
f21da9ee-5b32-4952-b8b7-7274d1f4274a,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOd3M3UkVlMTMwcFd1aXJYeTZVYzFBN3ZUR1ptcEktbll2VnQ4Sk5Xc0lINjA0Y0dScmhOX0JMbEVjNU4xQlYxYkcyelJNMnNLYUFGblduTGdNeVpMTmhJenlSY0JVSVhtVERxSmVwcVl5LUtrbV9tOVVUcENjbUhfMzZZUlo1bkNaWm5hcmdPSzFnYlFPeTJONlE0ZEFpM1BybWZJN0dZaFptYmlielVRRjhXVU95LU1Zd0hGdThldXFLUWPSAcgBQVVfeXFMT3dWN3VmalZHdU42dkk3QW16akdtTzFDU1ItZElmeDhmdm5ILV9IbmJiZU1yQUI3R2tTNDE5U3BBTXV6SDhLMW5HeE1mNFlIa29oTUs0dmFEVGFaVTI1bGxiY1lWTGtTVFFkVW9mSlVZYUkxdlBNMGVtZkFnSENDWUJxQ2gwLWRaSzV1Y1RCdkVFYXd3cFRTMThTUkVOaXRjV1lYeTNvNFFrTkY1UzFIWkpuRjEzNWtST3lpdGdfTS1uWl9BeTdNRlg?oc=5,Colorful Launches Ryzen Gorgon Halo Mini PC and Ryzen Max+ 395 Laptop Under Colorfire Brand - TechPowerUp,"Colorful Launches Ryzen Gorgon Halo Mini PC and Ryzen Max+ 395 Laptop Under Colorfire Brand TechPowerUpRyzen MAX+495 arrives in laptops, Sixunited AXN88B supports 192GB memory VideoCardz.comMinisforum's 192GB Gorgon Halo Mini PC Is A Local AI Powerhouse HotHardwareAoostar teases powerful AMD-powered mini PC with up to 192GB of RAM NotebookcheckAMD’s Ryzen AI MAX+ PRO 495 Powers GMKtec’s EVO-X5 PRO To Run 300B+ Models Locally On 192 GB of Unified Memory Wccftech",,Google News Technology,7,TECHNOLOGY,,2026-09-11T20:05:10+00:00,2026-09-11T22:24:15.491753+00:00,en,50.6429,47,80,55,60.4,b104f76c,False,True
392ef7a2-1415-4151-b391-7e73f251d45e,https://news.google.com/rss/articles/CBMicEFVX3lxTE5lQjZRWGNWcGVKX0Z5YW5VLWVNb1ZReWFvSGZkYl9DbWJXRm1hSWt2TW5ablRZLXVsRnRIWDJJVEhhd25rWFZYOXBNUENuclowZlJnT1dXNENlaDZUUHZtVUlfU29QLVZKckdadUhTN04?oc=5,The day Warren Buffett saved Salomon Brothers - Financial Times,The day Warren Buffett saved Salomon Brothers Financial Times,,Google News Business,7,BUSINESS,,2026-09-11T11:31:03+00:00,2026-09-11T22:24:16.864389+00:00,en,62.4286,31,40,45,53.2,6907d526,False,True
